Word,Meaning
osuḅọ́rọ́ma,principal
ósúká,grass
ósúká,weeds
ósúká,bodyhair
oto,native cloth basket
ótóbíē,lane
otoḅo,hippopotamus
ótolóo,very
otume,tail
otume,anus
otumebíē,anus
otumefa,flat
ówí,male
ówíápụ́,men
ówíḅọ́,male
ówítụ́wọ,man
ówítụ́wọ,guy
ówíma,hurry
ówíma,haste
owolo,acquire
owu,war
owu,fight
ówú,cry
ówú,weep
ówú,bleat
ówú,masquerade
ówú,mermaid
óyí,ten
ọ,he
ọ,him
ọ,his
ọ́,you people
ọbị́ọ̄,chicken
ọbị́ọ̄-ị́kụ,cocks
ọbọ́,sansa
ọbọsịmá,defilement
ọbọyẹ́,tortoise
ọ́ḅóghọ́,oath
ọḅụ,back
ọḅụangá,backside
ọḅụdụ́,back
ọḅụdụ́,behind
ọḅụ fịị́,take bribe
ọḅụjúu,back
ọḅụjúu,behind
ọḅụjụ́-ḿgbe,backbone
ọḅụkọọ́,behind
ọḅụkụnụma-okúu,ultimatum
ọḅụẹlẹḅị́pị́,treaty
ọ́dọ́,naughtiness
ọ́dụ́ḿ,python
ọ́dụ́ḿ yengi,royal python
ọ́fị́,sweep
ọ́fị́ọ́,whistle
ọ́fị́rị-irúu,liquor
ọfọ́,sceptre
ọfọnọ́,rack
ọfọrọngụ́,leper
ọ́fụ́rụ́má,shark
ọgazị,Helmeted Guinea-Fowl
ọ́gbụ́dụ́,dirty
ọgị,gonorrhoea
ọgịsị,wooden tobacco box
ọ́gọ̄,inlaw
ọgọnọ́ọ,top
ọgọnọ́ọ,above
ọgọnọ́-árụ,aeroplane
ọgọnọdányẹ,head
ọgọnọdányẹ,or
ọgọnọtándị́nyẹ,ladder
ọgọnọ́warị,storey
ọjụkụrụ,castnet
ọ́kọ́,hire
ọkọlọbị,grey parrot
ọkọlọbị́ẹ,lane
Ọkọńkọ,masquerade
ọkụ,lion
ọkụkụ,masquerade
ọkụnamá,lion
ọ́maa,embrace
ọmbịị́,rub
ọmbịnyẹ́,pomade
Ọmọ,name
ọmọọ́,ebb
ọmọmingí,ebbing
ọmọmọ́,housefly
ọ́mụ́,war
ọ́mụ́-ágị́dị,sword
ọ́mụ́-áláḅọ,general
ọ́mụ́-áláḅọ,commander
ọ́mụ́-áláówi,general
ọ́mụ́-áláwíye,son
ọ́mụ́-ánúme,warsongs
ọ́mụ́-ápụ,soldiers
ọ́mụ́-árụ́,war
ọ́mụ́-árụ́,warship
ọ́mụ́-ányẹ́,implement
ọ́mụ́bírí-ányẹ,soldiers
ọ́mụ́ḅọ́,soldier
ọ́mụ́ḅọ́,warrior
ọ́mụ́ḅọ́,admiral
ọ́mụ́gbí-ápụ́,soldiers
ọ́mụ́gbínyẹ́,ammunition
ọ́mụ́íjú,war stampede
ọ́mụ́kụ́rọ́náḅo,commander
ọ́mụ́-ówúu,warcry
ọ́mụ́súo,warcloud
ọ́mụ́mbụ,sandflies
ọnọ,sackcloth
ọnụnụ,accordion
ọpọ,bathroom
ọ́pọlụ́ḅụrụma,gunpowder
ọpọrọ,alley
ọ́pọlị́,creek
ọpụmbụ,flatus
ọpụmbụ,fart
ọpụpọlị́,boil
ọ́pụ́ụrụ́,collect
ọ́pụ́ụrụ́,grab
ọrị,pubic hair
ọrọ́ọsị,rice
ọrụ,arrangement
ọrụ,plan
ọrụ,rectification
ọrụtọḅọ́,manager
ọ́rụ́ḅọ́,woman
ọ́rụ́ḅọ́tụ́wọ,girl
ọ́sụ́,spill
ọ́sụ́,vomit
ọsụụ́,be split
ọtọḅọ́,narrow
ọtụrụkpọ́kpọ́, dove
ọ́wọ́rọ́wọ́,horn
ọ́wụ́,heat
ọ́wụ́,breath
paá,crow
pághá,go
pághá,away
págháfúro,descendant
págháfúro,lineage
pághará,answer
pághará,reply
pághárá,first
páị̄sí,please
pásīsí,please
pálị̄,second
pálị̄,support
pálị̄ḅọ́,assistant
pálị́,tighten
pálị́,fasten
palịmá,be urgent
palịmá,inconvenience
pámamgbée,skeleton
pamba,wing
pámbá,river bank
pápā,peel coconut
pápá,nothing
pápányẹ,nothing
pápányẹ,vainness
pápányẹ,emptiness
párị̄,twist rope
párị̄,plait hair
párị́,first
perí,pompano
pẹdírí,leaves
pẹẹ́,eat
pẹẹ́,mosquito bite
pẹ́lẹ́,cut
pẹ́lẹ́,slash
pẹ́lẹ́,felling
pẹ́lẹ́,clear bush
pẹ́lẹ́,settle case
pẹ́lẹ́,bet
pẹ́lẹ́ḅụ́pọ́,shutter
pẹmbẹ,small axe
pẹmbẹ,scythe
pẹrẹḅọ́,rich person
pẹrẹ fị́sánị,sweet alligator pepper
pẹrẹtẹtẹ,season
píghē,compete
píghā,compete
píghē,pin
píghí,deny
piri,bush
piri,forest
piribíéḅọ,barbarian
piridiri,herbs
pirináma,wild animal
piri-oḅóri,water chevrotain
piri opórópo,bushpig
pírí,butterfly
pisí, be wet
pị́nā, become white
pị́lā,croaker
pị́láma,bitterleaf
pị́nāḅála,silver
pị́nāmbú,white egret
pị́nā-óbíi,smallpox
pị́nị̄,peel
pị́nị̄,bruise
pịrị́,give
pị́sị̄,scratch
póghólókírī,valley
poló,cut
poló,eviscerate
poló,dissect
póló,compound
póló,yard
póló,quarter
pomịá,sole
póō,castrate
póō-óḅóri,castrated
pósíébị́pị́,waterside
pótiri,cask
pọnjị́,squeeze
pọọ́sị,cat
bọ́sị,cat
pú,split
pú,slice
púghū,bat
púghū,listen
púghú,eight thousand
pulo,oil
pulobié,piles
pururú,erupt
pụá,mock
pụghọ́,throat
pụghọ́,voice
pụmbará,liver
pụ́nụ́,fox
pụnụ́,press tight
pụnụ́,wedge
pụnụ́,incubate
pụ́nụ́maá,suppress
sá,urinate
sá,debt
sáfị́ḅọ́,debtor
sáá,time
sáá,term
sáḅá,crossover
saḅẹ́ẹ,soap
sáḅọ́,grandson
saghị́,get up
saghị́,wake
saghị́,start
saghị́,begin
sághị̄,lift
sághị̄,take
sagi,whale
sámụ́nọ́,wither
sámụ́nọ́,dry
sámụ́nọ́,dessicate
sánā,sprinkle
sánáḅọ́,creditor
sanị,pepper
sanị́,melt
sánị̄,swing
sápásápá,not much
sará,pour
sárá,dustbin
sárá-ọ́gọ́nọ,dustbin
sarabirí,allowance
sárámaáa,act quickly
sẹ́,stand
sẹ́,country
sẹ́gbọ́rụ́,whole world
sẹẹ́,dash
sẹẹ́,give present
sẹfị,prostitution
sẹfịarọ́,female
sẹfịarọ́,harlot
sẹfịarọ́,whore
sẹfịḅọ́,prostitute
sẹfịḅọ́,harlot
sẹfịḅọ́,whore
sẹfịeré,prostitute
sẹfịeré,harlot
sẹfịeré,whore
sẹfịowí,flirt
sẹfịowí,playboy
sẹ́ghị́,dance
sẹ́ghị́,tremble
sẹ́kírí,nation
sẹlẹ́,select
sẹlẹ́,choose
sẹlẹ́,pick
sẹ́maá,order
sẹ́maá,send
sẹ́ma wárị́ị,stop
sẹ́ma wárị́ị,keep
sẹ́ngị́,slice
sẹnị́,grow
sẹnịarọ́,aged
sẹnịḅọ́,elder
sẹnịowi,aged man
sẹrẹrẹ́,lean on
sẹrẹrẹ́,depend on
sẹ́rị̄,cut slice
sí,twenty
siḅé,feed
sii,badness
sii,sin
siinyẹ,evil
siibíenighí,repentance
siiḅụ́ụpịghị́,conversion
siikié,confession
siifị́lā,curse
siimíényẹ,bad manners
sinyẹ́,bad
sinyẹ́,sin
siipiri,evil forest
sií,wipe
sií,remove
sika,spring
siki,crocodile
sílé,noise
siminí,poverty
siminiḅọ́,poor
singi,catfish
siri,play square
sírí,flow
sírí-míngí,flowing tide
sísīḅáa,four days forward
sị,that
sị́,tree
sị́,stick
sị́bị́,head
sị́bị́dáláḅála,comb
sị́bị́núme,hair
sị́bị́-ókpóróm ́gbo,skull
sị́bị́-ọ́tọ́rọ,brain
sị́ḅị́puú,headache
sị́bị́sághị́nyẹ,pillow
sịḅịpị́,salutation
sịghị́,refuse
sịghị́,forsake
sị́ghịrị́,wash
sị́ghịrị́,fade away
sịị́,call
sị́ị́-ị́kpángị,branch
sị́ị́-ḿgbọ́lụ,fruits
sị́ị́-ḿgbọ́lụ,seeds
sịka,stingray
sịkákā,silkcotton
sị́kọ́,hiccups
sị́nẹ́lị,sorry
sịngị́,slumber
sị́-ókúḅọ,ambassador
sị́rị,leopard
sị́rịfini,hawk
sịsáị̄,wake
só,go
sóóló,be high
sóloló,hang
sóloló,keep
sombí,press to drown
sombí,squat
sọ́ngịlị́,detect
sópá,germinate
sópá,grow
sóró,drop
sóró,fall
sówí,accident
sọ́lị̄,covet
sọ́,enter
sọ́ ḅó,enter
sọ́ ḅó,come in
sọ́ mú,go in
sọ́ngọ́fúróáwọ,grandchildren of slave
sọ́ngọ́fúrótụwọ,grandson of slave
sọ́ngọ́tụ́wọ,slave child
sọ́nọ́,five
sọ́nọ́á pughu,forty thousand
sọ́nọ́á si,hundred
sọ́nọ́ma,seven
sọ́nọ́má ńdẹ,two thousand eight hundred 
sọ́nọ́má si,one hundred and forty 
sọ́nọ́má-íri-awọ,porpoise
sọ́nyẹ́,profit
sọọ́,cook
sọ́wụ́,take out jigger
sú,sing
súé,thirty
sóníé,six
sóníéá ńdẹ,two thousand four hundred 
sóníéá si,one hundred and twenty 
súghú,dig
súghú,harvest
súghú,excavate
súghū,swell
súghúbí,revenge
súghúbíe,bottom
súghúbíe,underneath
súmaá,push
súḿbíé,rod
súngú,sardine
sunju,broom
sundu,broom
suó,sky
suó,heaven
suo-alágba,thunder
suofịnị́,lightning
suo-ịkángị,lightning
suo-ọdụ́m,rainbow
suotọrụ́,atmosphere
súrúmaá,instigate
sú,cap
sú,hat
súū,rise
sụ́,stretch
sụ́ā,put
sụaḅịtẹ́,clothes
sụadirí,snuff
sụ́āpáma,verandah
sụḅa,spear
sụ́gbẹ́,tie
sụ́kā,hook
sụkụ́,bird
sụkụ́,greyheaded
sụ́ná,ant
sụ́ná,canerope
sụ́nụ́,rattan
sụ́nụnụ́,massage
sụ́wẹ́ẹ,virgin
tá,gather
taa,wife
taá,rub
taá,paint
tááwọ̄,grandson
táḅā,lick
táḅā,granddaughter
tádō,ancestor
tádō-árọ́,granddaughter
tádō ówí,grandson
Támnụ́nọ́,God
Támnụ́nọ́ḅẹ́rẹ́,theology
Támnụ́nọ́ḅẹ́rẹ́dūghóḅọ,preacher
Támụ́nọ́ Fị́nyẹ,lord' supper
Támụ́nọ́fị́rị,ministry
Támụ́nọ́fị́rịnwangị́ḅọ,minister
Támụ́nọ́-ólógho,commandment
Támụ́nọ́wárị,church
Támụ́nọ́ólogho,canon
tanda ọrụ́ḅọ,midwife
tanjị́,climb
tandị́,climb
tarị́,love
tarịghaḅọ́ọ,enemy
tárị́,first
tárị́nyẹ́,origin
tarịnyẹ́,wish
téghélé,disgrace
téélé,gorilla
tésí,sixty
tẹẹ́,kick
tẹẹ́,fire
tẹẹ́,shoot
tẹ́ẹ̄,go adrift
tẹ́ghẹ̄,beg
tẹ́ghẹ̄,entreat
tẹ́ghẹ̄,implore
tẹ́ghẹ̄,pray
tẹ́ghẹ̄,worship
tẹ́lẹ́maá,make good
tẹ́mẹ́,create
tẹ́mẹ́,mould
tẹ́mẹ́,make
tẹ́mẹ́,shadow
tẹ́mẹ́,soul
tẹ́mẹ́díghínyẹ́,lookingglass
tẹ́mẹ́díghínyẹ́,mirror
tẹ́mẹ́kọ́ḅọ́,blacksmith
tẹ́mẹ́náḅọ́,smith
tẹ́mẹ́náḅọ́,goldsmith
tẹ́mẹ́náḅọ́,silversmith
tẹ́mẹ́náḅọ́,blacksmith
tẹ́mẹ́nyẹ́,creature
tẹ́mẹ́nyẹ́,image
tẹ́mẹ́-ówí,male creator
tẹ́rẹ́,three
Tẹ́rẹ́gbẹ́rẹ́nyẹ́sọ̄,trinity
tibírímá,tempt
tíbīrímányẹ́,temptation
tíī,play
timí,beat
timí,pound
timí,bask
tíníbíé,armpit
tólóló,hunter's knife
tolótoló,turkey
tomḅọ́,someone
tomḅọ́,somebody
tomí,pestle
tọ́,weigh
tọ́,measure
tọ́,holy
tọ́ nyẹ́,forbidden
tọ́nyẹ́mị́ẹ́nyẹ,ordination
tọndịnyẹ́,lamp
Támụ́nọ́tọndọ́,God's lamp
tọndọ́,lamp
tọnyẹ́,plan
tọnyẹ́,will
tọ́ngọ̄,penis
tọ́ntọ́ḅụ́ụ,holiness
tọ́pịrịfị́rị,assignment
tọ́rụ́,river
tọrọ́ọ,how
tọrọ́ọ,how are you?
tọrọ́ọ,hi
tọrọ fị́nịị́,how is it?
tọ́rụ̄,face
tọ́rụ́-ánjị̄,eyebrow
tọ́rụ́ lélémá,stare
tọ́rụ́ lélémá,look
tọ́rụ́,eye
tọ́rụ́-mgbọ́lụ,eye
tọ́rụ́ḅámá,exile
tọ́rụ́dīghí,hope
tọ́rụ́dīnyẹ́,microscope
tọ́rụ́findí,civilization
tọ́rụ́fọ́pẹẹ́,discipline
tọ́rụ́kū,face
tọ́rụ́kū,forward
tọ́rụ́kūsẹ́nị́ḅọ,senior
tọ́rụ́kụrụkụrụ́,grace
tọ́rụ́siarị́,suffering
túghurú,chew
túlú,bore
túlú,pierce
túlúma,advise
tumini-gbọ́rụ,mankind
tumini-irú,tombo
tumini-irú,palmwine
tuminikírī,world
tuminikírī,earth
túminí,extol
túminí,praise
túminí,thank
tumo,tail
tụ́ndụ́,hill
tungú,occiput
turú,chalk
turú,powder
túrú,nails
túrúkpápụ̣́nyẹ́,pincers
turumbí,palm kernels
tuú,set trap
túumanyẹ́,counsel
túwó,trade
túwónáḅọ́,trader
túwówárị̄,factory
tụ́ḅara,antelope
tụghụ́,squat
tụghụ́,stoop
tụghụmanyẹ́,truth
tụ́ḿ,aerial
tụmḅọ́,person
tụ́ndụ́,hill
turú,chalk
tụ́-tụ́,ask for more
tụ́ụ́maá,point out
tụwọ,child
tụwọ akpáa,womb
ụ́kụ́ta,waistbeads
ụ́kụ́takoroma,ceremony
vála,sail
vála-arụ,sailingship
waghị́,throw
wá,we
wá,our
wámịnị,we
wámịna,our
wándere,window
wárị́,keep
wárị̄,house
wárị̄,home
wárị́bāghụ́-ẹ́fẹ́rẹ,zinc
wárị́bīé,room
wárị́bịlágogo,gecko
wárị̄kíri,floor
wárị̄kíri,foundation
wárị̄náma,domestic animal
wárị́nāmáḅọ́,builder
wárị́-ngása,wall
wárị́-ōsu,roof
wáya,wire
wayị́,cast
wíki,week
wílī,cut
wílī,slice
wílī,chop
wirí,abuse
wirí,insult
wirí,curse
wówówó,noise
wọ́lọ̄,massage
wọ́lọ̄,disregard
wọ́lọ̄,disrespect
yaá,marry
yaá,marriage
yafúro,relatives
yáwụ́,silence
yáwụ́,audience
yáwúma,cause to silence
yọ́,place
yọ́ yọ́,place
